;------------------------------------------------------------
;怪怪原创版本 QQ:493317334 内挂物品过滤配置文件
;------------------------------------------------------------
;物品类型	物品名称	极品显示	自动捡取	显示名称
1	神圣战甲术	0	1	1
1	刺杀剑术	0	1	1
1	困魔咒	0	1	1
1	召唤骷髅	0	1	1
1	隐身术	0	1	1
1	集体隐身术	0	1	1
1	诱惑之光	0	1	1
1	瞬息移动	0	1	1
1	火墙	0	1	1
1	爆裂火焰	0	1	1
1	地狱雷光	0	1	1
1	半月弯刀	0	1	1
1	烈火剑法	0	1	1
1	野蛮冲撞	0	1	1
1	心灵启示	0	1	1
1	群体治愈术	0	1	1
1	召唤神兽	0	1	1
1	魔法盾	0	1	1
1	圣言术	0	1	1
1	冰咆哮	0	1	1
1	狮子吼	0	1	1
1	寒冰掌	0	1	1
1	灭天火	0	1	1
1	气功波	0	1	1
1	无极真气	0	1	1
1	流星火雨	0	1	1
1	噬血术	0	1	1
1	四级魔法盾	0	1	1
1	召唤圣兽	0	1	1
1	逐日剑法	0	1	1
1	四级基本剑术	0	1	1
1	四级刺杀剑术	0	1	1
1	圆月弯刀	0	1	1
1	四级雷电术	0	1	1
1	四级流星火雨	0	1	1
1	四级施毒术	0	1	1
1	四级噬血术	0	1	1
1	血魄一击(战)	0	1	1
1	血魄一击(法)	0	1	1
1	血魄一击(道)	0	1	1
1	四级烈火剑法	0	1	1
1	四级灭天火	0	1	1
1	四级灵魂火符	0	1	1
1	肉	0	0	0
1	鸡肉	0	0	0
2	干肉	0	0	0
2	包子	0	0	0
7	蜡烛	0	0	0
7	火把	0	0	0
7	火炬	0	1	1
1	食人树叶	0	1	1
1	毒蜘蛛牙齿	0	1	1
1	食人树的果实	0	1	1
1	蝎子的尾巴	0	1	1
1	蛆卵	0	1	1
1	沃玛号角	0	1	1
1	祖玛头像	0	1	1
1	修复油	0	0	0
1	战神油	0	1	1
1	祝福油	0	1	1
1	随机传送卷	0	0	0
1	地牢逃脱卷	0	0	0
1	回城卷	0	1	1
1	行会回城卷	0	0	0
1	随机传送卷包	0	0	0
1	地牢逃脱卷包	0	0	0
1	回城卷包	0	1	1
1	行会回城卷包	0	0	0
2	护身符	0	0	0
2	护身符(大)	0	0	0
2	超级护身符	0	1	1
2	灰色药粉(少量)	0	0	0
2	灰色药粉(中量)	0	0	0
2	灰色药粉(大量)	0	0	0
2	超级灰色药粉	0	1	1
2	黄色药粉(少量)	0	0	0
2	黄色药粉(中量)	0	0	0
2	黄色药粉(大量)	0	0	0
2	超级黄色药粉	0	1	1
2	许中医的药1	0	1	1
2	许中医的药2	0	1	1
2	许中医的药3	0	1	1
1	药剂师的信	0	1	1
1	命运之书	0	1	1
1	金条	0	1	1
1	金砖	0	1	1
1	金盒	0	1	1
1	宝箱	0	1	1
1	骰子	0	1	1
1	木料	0	1	1
1	彩票	0	1	1
1	佛牌	0	1	1
1	介绍信	0	1	1
1	薄荷叶	0	1	1
1	山洞凭证	0	1	1
1	筹码	0	1	1
1	筹码包	0	1	1
1	赤血魔剑碎片	0	1	1
1	命运水晶	0	1	1
1	邪恶巨人心脏	0	1	1
1	赤月恶魔油	0	1	1
1	勋章之心	0	1	1
1	绿宝石矿	0	1	1
1	紫水晶矿	0	1	1
1	幸运礼袋	0	1	1
2	修复神水	0	1	1
1	千里传音(小)	0	1	1
1	千里传音(大)	0	1	1
1	传音筒	0	1	1
1	极品烟花	0	1	1
1	个性发型	0	1	1
1	反璞归真	0	1	1
1	玄绿	0	1	1
1	玄紫	0	1	1
1	玄褐	0	1	1
1	双倍卷轴	0	1	1
1	双倍秘籍	0	1	1
1	四倍卷轴	0	1	1
1	四倍秘籍	0	1	1
2	虎卫卷轴	0	1	1
2	召唤强化卷	0	1	1
1	攻击神水	0	1	1
1	魔力神水	0	1	1
1	精神神水	0	1	1
1	极速神水	0	1	1
1	体力强效神水	0	1	1
1	魔力强效神水	0	1	1
1	苹果	0	1	1
1	新手魔血石	0	1	1
1	气血石(小)	0	1	1
1	气血石(中)	0	1	1
1	气血石(大)	0	1	1
1	幻魔石(小)	0	1	1
1	幻魔石(中)	0	1	1
1	幻魔石(大)	0	1	1
1	魔血石(小)	0	1	1
1	魔血石(中)	0	1	1
1	魔血石(大)	0	1	1
2	新手随机石	0	1	1
2	随机传送石	0	1	1
2	新手回城石	0	1	1
2	回城石	0	1	1
2	太阳水捆药绳	0	1	1
2	雪霜捆药绳	0	1	1
2	疗伤药捆药绳	0	1	1
1	藏宝图001	0	1	1
1	藏宝图002	0	1	1
1	藏宝图003	0	1	1
1	藏宝图004	0	1	1
1	藏宝图005	0	1	1
1	藏宝图006	0	1	1
1	藏宝图007	0	1	1
1	藏宝图008	0	1	1
1	藏宝图009	0	1	1
1	藏宝图010	0	1	1
1	藏宝图011	0	1	1
1	藏宝图012	0	1	1
1	藏宝图013	0	1	1
1	藏宝图014	0	1	1
1	藏宝图015	0	1	1
1	藏宝图016	0	1	1
1	藏宝图017	0	1	1
1	藏宝图018	0	1	1
1	藏宝图019	0	1	1
1	藏宝图020	0	1	1
1	藏宝图101	0	1	1
1	藏宝图102	0	1	1
1	藏宝图103	0	1	1
1	藏宝图104	0	1	1
1	藏宝图105	0	1	1
1	藏宝图106	0	1	1
1	藏宝图107	0	1	1
1	藏宝图108	0	1	1
1	藏宝图109	0	1	1
1	藏宝图110	0	1	1
1	藏宝图111	0	1	1
1	藏宝图112	0	1	1
1	藏宝图113	0	1	1
1	藏宝图114	0	1	1
1	藏宝图115	0	1	1
1	藏宝图116	0	1	1
1	藏宝图117	0	1	1
1	藏宝图118	0	1	1
1	藏宝图119	0	1	1
1	藏宝图120	0	1	1
1	藏宝图201	0	1	1
1	藏宝图202	0	1	1
1	藏宝图203	0	1	1
1	藏宝图204	0	1	1
1	藏宝图205	0	1	1
1	藏宝图206	0	1	1
1	藏宝图207	0	1	1
1	藏宝图208	0	1	1
1	藏宝图209	0	1	1
1	藏宝图210	0	1	1
1	藏宝图211	0	1	1
1	藏宝图212	0	1	1
1	藏宝图213	0	1	1
1	藏宝图214	0	1	1
1	藏宝图215	0	1	1
1	藏宝图216	0	1	1
1	藏宝图217	0	1	1
1	藏宝图218	0	1	1
1	藏宝图219	0	1	1
1	藏宝图220	0	1	1
1	藏宝图301	0	1	1
1	藏宝图302	0	1	1
1	藏宝图303	0	1	1
1	藏宝图304	0	1	1
1	藏宝图305	0	1	1
1	藏宝图306	0	1	1
1	藏宝图307	0	1	1
1	藏宝图308	0	1	1
1	藏宝图309	0	1	1
1	藏宝图310	0	1	1
1	藏宝图311	0	1	1
1	藏宝图312	0	1	1
1	藏宝图313	0	1	1
1	藏宝图314	0	1	1
1	藏宝图315	0	1	1
1	藏宝图316	0	1	1
1	藏宝图317	0	1	1
1	藏宝图318	0	1	1
1	藏宝图319	0	1	1
1	藏宝图320	0	1	1
1	藏宝图321	0	1	1
1	藏宝图322	0	1	1
1	藏宝图323	0	1	1
1	藏宝图324	0	1	1
1	藏宝图325	0	1	1
1	藏宝图326	0	1	1
2	火云石碎片	0	1	1
2	火云石	0	1	1
1	火云晶石	0	1	1
1	魔龙冰晶	0	1	1
1	弩牌	0	1	1
1	火龙凭证	0	1	1
1	龙魂	0	1	1
1	千年蛛丝	0	1	1
1	白日门令牌	0	1	1
1	白日门门主信物	0	1	1
1	龙人信物	0	1	1
1	水晶	0	1	1
1	五毒解药	0	1	1
1	西瓜	0	1	1
1	小块西瓜	0	1	1
1	酒	0	1	1
1	陈年桂花香	0	1	1
1	门主书信	0	1	1
1	下了毒的西瓜	0	1	1
1	密函	0	1	1
1	密探的信	0	1	1
1	花叶酒	0	1	1
3	凤凰羽衣	0	1	1
1	白玉戒指	0	1	1
1	神医药具	0	1	1
1	地苦胆	0	1	1
1	四叶参	0	1	1
1	铁树果	0	1	1
1	阴阳仙草	0	1	1
1	紫背天葵	0	1	1
1	九花雪露	0	1	1
1	九花玉露	0	1	1
1	元神丹	0	1	1
1	回气膏	0	1	1
1	黄色马枝花	0	1	1
1	罗布麻叶	0	1	1
1	黄金钥匙	0	1	1
1	红色夜明珠	0	1	1
1	橙色夜明珠	0	1	1
1	黄色夜明珠	0	1	1
1	绿色夜明珠	0	1	1
1	蓝色夜明珠	0	1	1
1	庄主令牌	0	1	1
1	宝藏钥匙	0	1	1
1	火龙珠	0	1	1
1	矿洞组队卷轴	0	1	1
1	神殿组队卷轴	0	1	1
1	邪窟组队卷轴	0	1	1
1	地穴组队卷轴	0	1	1
1	石墓组队卷轴	0	1	1
1	一心一意包	0	1	1
1	心心相印包	0	1	1
1	飞火流星包	0	1	1
1	浪漫星雨包	0	1	1
1	绮梦幻想包	0	1	1
1	长空火舞包	0	1	1
1	如雾似梦包	0	1	1
1	一心一意	0	1	1
1	心心相印	0	1	1
1	飞火流星	0	1	1
1	浪漫星雨	0	1	1
1	绮梦幻想	0	1	1
1	长空火舞	0	1	1
1	如雾似梦	0	1	1
1	魔族指令书	0	1	1
1	吉祥果	0	1	1
1	金鱼钱币	0	1	1
1	烟花	0	1	1
2	霹雳弹(小)	0	1	1
2	霹雳弹(中)	0	1	1
2	霹雳弹(大)	0	1	1
2	天雷弹(小)	0	1	1
2	天雷弹(中)	0	1	1
2	天雷弹(大)	0	1	1
2	超级天雷弹	0	1	1
1	烧酒	0	1	1
1	1元宝	0	1	1
1	2元宝	0	1	1
1	5元宝	0	1	1
1	10元宝	0	1	1
1	20元宝	0	1	1
1	50元宝	0	1	1
1	100元宝	0	1	1
1	200元宝	0	1	1
1	500元宝	0	1	1
1	1000元宝	0	1	1
1	庆典蛋糕	0	1	1
1	超级祝福油	0	1	1
2	祝福罐	0	1	1
2	魔令包	0	1	1
6	聚灵珠(小)	0	1	1
6	聚灵珠(大)	0	1	1
6	英雄聚灵珠(小)	0	1	1
6	英雄聚灵珠(大)	0	1	1
6	内功珠(微)	0	1	1
6	内功珠(小)	0	1	1
6	内功珠(中)	0	1	1
6	内功珠(大)	0	1	1
1	金牌凭证	0	1	1
1	热血积分	0	1	1
1	热血积分包	0	1	1
1	热血凭证	0	1	1
1	白金积分	0	1	1
1	白金积分包	0	1	1
1	白金凭证	0	1	1
1	白金令牌	0	1	1
1	檀木宝箱	0	1	1
1	紫铜宝箱	0	1	1
1	白银宝箱	0	1	1
1	赤金宝箱	0	1	1
1	神秘宝箱	0	1	1
1	木箱钥匙	0	1	1
1	紫铜钥匙	0	1	1
1	白银钥匙	0	1	1
1	赤金钥匙	0	1	1
1	神秘钥匙	0	1	1
2	金创药(小量)	0	0	0
2	魔法药(小量)	0	0	0
2	金创药(中量)	0	0	0
2	魔法药(中量)	0	0	0
2	强效金创药	0	0	0
2	强效魔法药	0	0	0
2	特效金创药	0	1	1
2	特效魔法药	0	1	1
2	太阳水	0	0	0
2	强效太阳水	0	1	1
2	万年雪霜	0	1	1
2	疗伤药	0	1	1
1	金创药(小)包	0	0	0
1	魔法药(小)包	0	0	0
1	金创药(中)包	0	0	0
1	魔法药(中)包	0	0	0
1	超级金创药	0	0	0
1	超级魔法药	0	0	0
1	特效金创药包	0	1	1
1	特效魔法药包	0	1	1
1	强效太阳水包	0	1	1
1	万年雪霜包	0	1	1
1	疗伤药包	0	1	1
1	超级疗伤药	0	1	1
2	特殊药水	0	1	1
2	鹿茸	0	1	1
2	神水	0	1	1
2	鹿血	0	1	1
1	铜矿	0	0	0
1	铁矿	0	0	0
1	银矿	0	0	0
1	金矿	0	1	1
1	黑铁矿石	0	1	1
3	布衣(男)	0	0	0
3	布衣(女)	0	0	0
4	木剑	0	0	0
4	铁剑	0	0	0
4	青铜剑	0	0	0
3	轻型盔甲(男)	0	1	1
3	轻型盔甲(女)	0	1	1
4	凝霜	0	1	1
4	短剑	0	0	0
4	青铜斧	0	0	0
3	重盔甲(女)	0	1	1
3	魔法长袍(女)	0	1	1
3	灵魂战衣(女)	0	1	1
3	重盔甲(男)	0	1	1
3	魔法长袍(男)	0	1	1
3	灵魂战衣(男)	0	1	1
4	匕首	0	0	0
4	井中月	0	1	1
4	银蛇	0	1	1
4	海魂	0	1	1
4	修罗	0	1	1
4	炼狱	0	1	1
4	凌风	0	1	1
4	破魂	0	1	1
4	斩马刀	0	1	1
5	古铜戒指	0	0	0
3	青铜头盔	0	0	0
5	金项链	0	0	0
5	铁手镯	0	0	0
4	乌木剑	0	1	1
4	魔杖	0	1	1
4	八荒	0	1	1
5	玻璃戒指	0	0	0
5	牛角戒指	0	0	0
5	蓝色水晶戒指	0	1	1
5	六角戒指	0	0	0
5	黑檀项链	0	1	1
5	黄色水晶项链	0	1	1
5	黑色水晶项链	0	1	1
3	魔法头盔	0	1	1
4	半月	0	1	1
5	皮制手套	0	1	1
5	坚固手套	0	1	1
5	钢手镯	0	1	1
5	生铁戒指	0	1	1
5	金戒指	0	1	1
5	灯笼项链	0	1	1
5	白色虎齿项链	0	1	1
5	魅力戒指	0	1	1
5	道德戒指	0	1	1
5	白金项链	0	1	1
5	降妖除魔戒指	0	1	1
5	躲避手链	0	1	1
4	偃月	0	1	1
4	降魔	0	1	1
5	传统项链	0	0	0
5	小手镯	0	0	0
5	银手镯	0	0	0
5	大手镯	0	1	1
4	鹤嘴锄	0	1	1
5	隐身戒指	0	1	1
5	黑色水晶戒指	0	1	1
5	魔鬼项链	0	1	1
5	珊瑚戒指	0	1	1
5	蓝翡翠项链	0	1	1
5	蛇眼戒指	0	1	1
5	琥珀项链	0	1	1
5	放大镜	0	1	1
5	红宝石戒指	0	1	1
5	珍珠戒指	0	1	1
5	竹笛	0	1	1
5	铂金戒指	0	1	1
5	骷髅戒指	0	1	1
5	龙之戒指	0	1	1
5	死神手套	0	1	1
3	骷髅头盔	0	1	1
5	魔法手镯	0	1	1
5	金手镯	0	1	1
3	道士头盔	0	1	1
5	传送戒指	0	1	1
5	骑士手镯	0	1	1
5	绿色项链	0	1	1
5	凤凰明珠	0	1	1
5	道士手镯	0	1	1
5	三眼手镯	0	1	1
5	灵魂项链	0	1	1
5	黑檀手镯	0	1	1
5	思贝儿手镯	0	1	1
5	恶魔铃铛	0	1	1
5	麻痹戒指	0	1	1
5	魔道麻痹戒指	0	1	1
5	复活戒指	0	1	1
5	火焰戒指	0	1	1
5	防御戒指	0	1	1
5	愤怒戒指	0	1	1
5	护身戒指	0	1	1
5	超负载戒指	0	1	1
5	技巧项链	0	1	1
5	狂风戒指	0	1	1
5	夏普儿手镯	0	1	1
5	狂风项链	0	1	1
5	辟邪手镯	0	1	1
5	探测项链	0	1	1
4	无极棍	0	1	1
4	血饮	0	1	1
4	裁决之杖	0	1	1
5	记忆戒指	0	1	1
5	记忆项链	0	1	1
5	记忆手镯	0	1	1
3	记忆头盔	0	1	1
4	祈祷之刃	0	1	1
5	祈祷手镯	0	1	1
5	祈祷项链	0	1	1
5	祈祷戒指	0	1	1
3	祈祷头盔	0	1	1
5	生命项链	0	1	1
5	力量戒指	0	1	1
5	心灵手镯	0	1	1
3	黑铁头盔	0	1	1
4	落魄神兵	0	1	1
3	中型盔甲(男)	0	1	1
3	中型盔甲(女)	0	1	1
4	命运之刃	0	1	1
4	屠龙	0	1	1
4	龙纹剑	0	1	1
4	嗜魂法杖	0	1	1
5	紫碧螺	0	1	1
5	泰坦戒指	0	1	1
5	幽灵手套	0	1	1
5	阎罗手套	0	1	1
5	龙之手镯	0	1	1
5	天珠项链	0	1	1
5	幽灵项链	0	1	1
3	头盔	0	1	1
4	骨玉权杖	0	1	1
5	神秘戒指	0	1	1
5	神秘腰带	0	1	1
3	神秘头盔	0	1	1
5	祈福项链	0	1	1
4	牢犯匕首	0	1	1
3	恶魔长袍(女)	0	1	1
3	恶魔长袍(男)	0	1	1
3	幽灵战衣(女)	0	1	1
3	幽灵战衣(男)	0	1	1
3	战神盔甲(男)	0	1	1
3	战神盔甲(女)	0	1	1
5	求婚戒指	0	1	1
3	圣战头盔	0	1	1
3	法神头盔	0	1	1
3	天尊头盔	0	1	1
5	圣战手镯	0	1	1
5	法神手镯	0	1	1
5	天尊手镯	0	1	1
5	圣战戒指	0	1	1
5	法神戒指	0	1	1
5	天尊戒指	0	1	1
5	圣战项链	0	1	1
5	法神项链	0	1	1
5	天尊项链	0	1	1
4	罗刹	0	1	1
4	赤血魔剑	0	1	1
5	魔血戒指	0	1	1
5	魔血手镯	0	1	1
5	魔血项链	0	1	1
5	虹魔戒指	0	1	1
5	虹魔手镯	0	1	1
5	虹魔项链	0	1	1
7	荣誉勋章11号	0	1	1
7	荣誉勋章12号	0	1	1
7	荣誉勋章13号	0	1	1
7	荣誉勋章14号	0	1	1
7	荣誉勋章15号	0	1	1
7	荣誉勋章21号	0	1	1
7	荣誉勋章22号	0	1	1
7	荣誉勋章23号	0	1	1
7	荣誉勋章24号	0	1	1
7	荣誉勋章25号	0	1	1
7	荣誉勋章31号	0	1	1
7	荣誉勋章32号	0	1	1
7	荣誉勋章33号	0	1	1
7	荣誉勋章34号	0	1	1
7	荣誉勋章35号	0	1	1
7	荣誉勋章41号	0	1	1
7	荣誉勋章42号	0	1	1
7	荣誉勋章43号	0	1	1
7	荣誉勋章44号	0	1	1
7	荣誉勋章45号	0	1	1
7	荣誉勋章51号	0	1	1
7	荣誉勋章52号	0	1	1
7	荣誉勋章53号	0	1	1
7	荣誉勋章54号	0	1	1
7	荣誉勋章55号	0	1	1
4	龙牙	0	1	1
4	怒斩	0	1	1
4	逍遥扇	0	1	1
4	留香	0	1	1
3	天魔神甲	0	1	1
3	法神披风	0	1	1
3	天尊道袍	0	1	1
3	圣战宝甲	0	1	1
3	霓裳羽衣	0	1	1
3	天师长袍	0	1	1
4	大风起兮云飞扬	0	1	1
4	几施经略挫雄豪	0	1	1
4	天下谁人不识君	0	1	1
4	雏凤清于老凤声	0	1	1
4	人生乐在相知心	0	1	1
4	只羡鸳鸯不羡仙	0	1	1
4	一代红装照汗青	0	1	1
4	霸者之刃	0	1	1
3	城主战袍(男)	0	1	1
3	城主战袍(女)	0	1	1
7	布鞋	0	1	1
7	鹿皮靴	0	1	1
7	紫绸靴	0	1	1
7	避魂靴	0	1	1
7	兽皮腰带	0	1	1
7	铁腰带	0	1	1
7	青铜腰带	0	1	1
7	钢铁腰带	0	1	1
3	雷霆战甲(男)	0	1	1
3	雷霆战甲(女)	0	1	1
5	雷霆项链	0	1	1
5	雷霆护腕	0	1	1
5	雷霆战戒	0	1	1
7	雷霆腰带	0	1	1
7	雷霆战靴	0	1	1
3	烈焰魔衣(男)	0	1	1
3	烈焰魔衣(女)	0	1	1
5	烈焰项链	0	1	1
5	烈焰护腕	0	1	1
5	烈焰魔戒	0	1	1
7	烈焰腰带	0	1	1
7	烈焰魔靴	0	1	1
3	光芒道袍(男)	0	1	1
3	光芒道袍(女)	0	1	1
5	光芒项链	0	1	1
5	光芒护腕	0	1	1
5	光芒道戒	0	1	1
7	光芒腰带	0	1	1
7	光芒道靴	0	1	1
4	开天	0	1	1
4	镇天	0	1	1
4	玄天	0	1	1
3	凤天魔甲	0	1	1
3	凰天魔衣	0	1	1
5	战神项链	0	1	1
5	战神手镯	0	1	1
5	战神戒指	0	1	1
5	圣魔项链	0	1	1
5	圣魔手镯	0	1	1
5	圣魔戒指	0	1	1
5	真魂项链	0	1	1
5	真魂戒指	0	1	1
5	真魂手镯	0	1	1
3	天龙盔	0	1	1
3	魔龙盔	0	1	1
3	圣龙盔	0	1	1
4	龙骨刀	0	1	1
3	龙骨甲(男)	0	1	1
3	龙骨甲(女)	0	1	1
5	龙骨戒	0	1	1
5	龙骨镯	0	1	1
5	龙骨链	0	1	1
3	龙骨盔	0	1	1
5	强化雷霆项链	0	1	1
5	强化雷霆护腕	0	1	1
5	强化雷霆战戒	0	1	1
7	强化雷霆战靴	0	1	1
7	强化雷霆腰带	0	1	1
5	强化烈焰项链	0	1	1
5	强化烈焰护腕	0	1	1
5	强化烈焰魔戒	0	1	1
7	强化烈焰魔靴	0	1	1
7	强化烈焰腰带	0	1	1
5	强化光芒项链	0	1	1
5	强化光芒护腕	0	1	1
5	强化光芒道戒	0	1	1
7	强化光芒道靴	0	1	1
7	强化光芒腰带	0	1	1
5	混世手镯	0	1	1
5	混世戒指	0	1	1
5	太极手镯	0	1	1
5	太极戒指	0	1	1
5	狂战手镯	0	1	1
5	狂战戒指	0	1	1
7	银星勋章(战)	0	1	1
7	银星勋章(法)	0	1	1
7	银星勋章(道)	0	1	1
5	寂静之手(战)	0	1	1
5	寂静之手(法)	0	1	1
5	寂静之手(道)	0	1	1
7	传说魔靴(战)	0	1	1
7	传说魔靴(法)	0	1	1
7	传说魔靴(道)	0	1	1
3	预言头盔(战)	0	1	1
3	预言头盔(法)	0	1	1
3	预言头盔(道)	0	1	1
7	誓言腰带(战)	0	1	1
7	誓言腰带(法)	0	1	1
7	誓言腰带(道)	0	1	1
3	星王战盔	0	1	1
3	星王法冠	0	1	1
3	星王道盔	0	1	1
7	星王腰带(战)	0	1	1
7	星王腰带(法)	0	1	1
7	星王腰带(道)	0	1	1
7	星王战靴	0	1	1
7	星王法靴	0	1	1
7	星王道靴	0	1	1
5	星王项链(战)	0	1	1
5	星王护腕(战)	0	1	1
5	星王战戒	0	1	1
5	星王项链(法)	0	1	1
5	星王护腕(法)	0	1	1
5	星王魔戒	0	1	1
5	星王项链(道)	0	1	1
5	星王道戒	0	1	1
5	星王护腕(道)	0	1	1
3	上古神甲(封印)	0	1	1
3	上古披风(封印)	0	1	1
3	上古道袍(封印)	0	1	1
3	上古宝甲(封印)	0	1	1
3	上古羽衣(封印)	0	1	1
3	上古长袍(封印)	0	1	1
3	上古神甲	0	1	1
3	上古宝甲	0	1	1
3	上古披风	0	1	1
3	上古羽衣	0	1	1
3	上古道袍	0	1	1
3	上古长袍	0	1	1
3	圣战头盔(封印)	0	1	1
5	圣战项链(封印)	0	1	1
5	圣战手镯(封印)	0	1	1
5	圣战戒指(封印)	0	1	1
3	法神头盔(封印)	0	1	1
5	法神项链(封印)	0	1	1
5	法神手镯(封印)	0	1	1
5	法神戒指(封印)	0	1	1
3	天尊头盔(封印)	0	1	1
5	天尊项链(封印)	0	1	1
5	天尊手镯(封印)	0	1	1
5	天尊戒指(封印)	0	1	1
3	天之圣战头盔	0	1	1
5	天之圣战项链	0	1	1
5	天之圣战手镯	0	1	1
5	天之圣战戒指	0	1	1
3	天之法神头盔	0	1	1
5	天之法神项链	0	1	1
5	天之法神手镯	0	1	1
5	天之法神戒指	0	1	1
3	天之天尊头盔	0	1	1
5	天之天尊项链	0	1	1
5	天之天尊手镯	0	1	1
5	天之天尊戒指	0	1	1
4	天之裁决	0	1	1
4	天之骨玉权杖	0	1	1
4	天之龙纹	0	1	1
4	天之屠龙	0	1	1
4	天之嗜魂法杖	0	1	1
4	天之逍遥扇	0	1	1
4	天之龙牙	0	1	1
4	天之怒斩	0	1	1
4	天之血饮	0	1	1
5	唤魔项链(封印)	0	1	1
5	唤魔手镯(封印)	0	1	1
5	唤魔戒指(封印)	0	1	1
5	唤魔项链(灰暗)	0	1	1
5	唤魔手镯(灰暗)	0	1	1
5	唤魔戒指(灰暗)	0	1	1
5	唤魔项链(流光)	0	1	1
5	唤魔手镯(流光)	0	1	1
5	唤魔戒指(流光)	0	1	1
5	唤魔项链(敏锐)	0	1	1
5	唤魔手镯(敏锐)	0	1	1
5	唤魔戒指(敏锐)	0	1	1
5	唤魔项链(天作)	0	1	1
5	唤魔手镯(天作)	0	1	1
5	唤魔戒指(天作)	0	1	1
5	唤魔项链(神雀)	0	1	1
5	唤魔手镯(神雀)	0	1	1
5	唤魔戒指(神雀)	0	1	1
5	雷泽项链(封印)	0	1	1
5	雷泽手镯(封印)	0	1	1
5	雷泽戒指(封印)	0	1	1
5	雷泽项链(坚硬)	0	1	1
5	雷泽手镯(坚硬)	0	1	1
5	雷泽戒指(坚硬)	0	1	1
5	雷泽项链(精纯)	0	1	1
5	雷泽手镯(精纯)	0	1	1
